ID,Default_Status,Loan_amount,Interest,Maturity,Credit_scores,Length,Readability_1,Readability_2,Readability_3,Attitude,Work_Info,Income_Info,Explanation,Guarantee,Thanks,Request,Usage_1,Usage_2,Usage_3,Usage_4,Usage_5,Usage_6,Age,Is_Married,Income_Level,Car,House,Car_Loan,House_Loan
124,,5,13,6,111,35,4 ,0.11429 ,6.10476,0,0,0,0,0,0,0,0,0,0,1,0,0,47,0,5,1,1,0,0
125,,15,11,6,151,234,20 ,0.08547 ,5.825078,0.07189545,1,0,0,0,1,0,0,0,0,0,1,0,33,0,3,0,0,0,0
126,,0.8,15,6,139,66,7 ,0.10606 ,9,0.111111,0,0,0,0,1,1,0,0,0,0,0,1,51,0,2,0,1,0,0
127,,5,13,6,110,65,3 ,0.04615 ,7.8,0.0512821,1,0,0,0,0,0,0,0,0,0,1,0,43,0,4,0,1,0,0
128,,10,14,12,150,41,4 ,0.09756 ,3.466668,0,1,0,0,0,0,0,0,0,0,0,1,0,36,0,4,0,1,0,0
129,,0.7,13,3,98,60,5 ,0.08333 ,4.8,0.0277778,1,0,0,1,0,0,0,0,0,0,0,1,35,1,2,0,0,0,0
130,,5,13,6,111,128,15 ,0.11719 ,4.51428,0.0506329,1,0,0,0,0,0,0,0,0,0,1,0,34,0,5,1,0,0,0
131,,1,11,6,113,65,1 ,0.01538 ,6.8,0.117647,1,0,0,1,0,0,0,0,0,0,0,1,50,0,3,0,1,0,0
132,,3,13,6,110,80,8 ,0.10000 ,4.8,0.0625,1,0,0,0,0,0,0,0,0,0,1,0,32,0,5,1,1,0,0
133,,15,14,12,130,98,10 ,0.10204 ,24.277968,0.0338983,1,0,0,0,0,0,0,0,0,0,1,0,40,0,5,1,1,0,0
134,,0.3,10,3,96,64,2 ,0.03125 ,8,0.1,0,0,0,0,1,0,0,0,0,0,0,1,32,0,1,0,0,0,0
135,,2,11,6,111,51,8 ,0.15686 ,2.48,0.129032,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2,0,1,0,1
136,,45,14,12,191,64,7 ,0.10937 ,7.4,0.027027,1,0,0,0,0,0,0,0,0,0,1,0,52,0,4,1,1,0,0
137,,10,14,12,33,60,6 ,0.10000 ,9.422224,0.0277778,1,0,0,0,1,0,0,0,0,0,1,0,56,0,5,0,1,0,0
138,,50,15,12,180,51,3 ,0.05882 ,5.8,0.0689655,0,0,0,0,0,0,0,0,0,0,1,0,40,0,3,1,1,0,1
139,,5,13,6,110,58,7 ,0.12069 ,2.85,0,1,0,0,0,0,0,0,0,0,0,1,0,44,0,3,1,1,0,0
140,,4,13,6,111,110,18 ,0.16364 ,13.997016,0.0149254,0,0,0,0,0,0,0,0,0,0,1,0,47,0,5,1,1,0,0
141,,15,14,12,151,55,4 ,0.07273 ,3.866668,0.0689655,1,0,0,0,0,1,0,0,0,0,1,0,59,0,4,0,1,0,0
142,,1.5,15,12,87,67,8 ,0.11940 ,18.4,0.0434783,0,0,0,0,0,0,0,0,0,0,1,0,38,0,5,1,1,1,0
143,,1,16,12,133,28,4 ,0.14286 ,7.6,0.0526316,0,0,1,0,1,0,0,1,0,0,0,0,30,1,2,1,1,1,1
144,,5,13,6,111,66,4 ,0.06061 ,7.8,0,1,0,0,0,0,0,0,0,0,0,1,0,48,0,4,1,1,0,0
145,,4,13,6,110,20,4 ,0.20000 ,2.6,0,0,0,0,0,0,0,0,0,0,0,1,0,40,0,5,1,0,0,0
146,,4.3,11,6,78,84,1 ,0.01190 ,9.4,0.0638298,1,0,0,1,0,0,0,0,0,0,1,0,31,0,5,1,1,0,0
147,,0.8,13,3,86,51,7 ,0.13725 ,6.2,0.0322581,1,0,0,0,1,0,0,0,0,1,0,0,35,0,2,1,1,0,0
148,,3,13,6,111,53,0 ,0.00000 ,10.8,0.148148,0,0,0,0,1,0,0,0,0,1,0,0,43,0,4,1,0,0,0
149,,5,13,6,111,33,0 ,0.00000 ,7.2,0.0555556,0,0,0,0,0,0,0,0,0,1,0,0,58,0,4,1,1,0,0
150,,5,13,6,111,72,6 ,0.08333 ,9,0.0666667,0,0,0,0,0,0,0,0,0,0,1,0,42,0,4,1,1,0,1
151,,0.8,15,9,86,74,8 ,0.10811 ,10.6,0,1,0,0,1,0,0,1,0,0,0,0,0,37,0,2,1,0,0,0
152,,5,13,6,111,99,7 ,0.07071 ,12.666668,0.0666666,1,0,0,0,0,0,0,0,0,0,1,0,37,0,5,1,1,0,0
153,,4,13,6,110,285,25 ,0.08772 ,14.078564,0.0299401,1,0,0,0,0,0,0,0,0,1,0,0,43,0,4,1,0,0,0
154,,5,18,12,64,61,6 ,0.09836 ,15.2,0,0,0,0,0,0,0,0,0,0,0,1,0,27,1,3,0,0,0,0
155,,30,14,12,130,61,4 ,0.06557 ,14.8,0.108108,0,0,0,0,0,0,0,0,0,0,1,0,41,0,5,1,1,0,0
156,,5,13,6,110,115,12 ,0.10435 ,13.615384,0.0307692,0,0,0,0,0,0,0,0,0,0,1,0,35,0,5,1,1,0,0
157,,0.8,11,6,112,82,7 ,0.08537 ,5.2,0.0384615,1,0,1,0,0,0,0,0,0,0,1,0,39,0,2,1,1,0,0
158,,3,13,6,111,69,9 ,0.13043 ,8,0,1,0,0,0,0,0,0,0,0,1,0,0,44,0,4,1,1,0,0
159,,0.3,20,3,81,59,8 ,0.13559 ,8.8,0.0454545,0,0,0,1,0,0,0,0,0,0,0,1,37,0,1,1,1,0,0
160,,0.5,10,3,92,54,4 ,0.07407 ,7.2154,0.115385,0,0,1,0,1,0,0,0,0,0,0,1,31,0,3,1,1,0,1
161,,3,13,6,111,144,19 ,0.13194 ,8.442104,0.0736842,1,0,0,0,0,0,0,0,0,0,1,0,42,0,5,0,0,0,0
162,,2,15,12,0,52,7 ,0.13462 ,4.26668,0,1,0,0,0,0,0,0,0,0,0,1,0,34,0,4,0,1,0,1
163,,5,13,6,111,57,7 ,0.12281 ,5.51668,0,1,0,0,0,0,0,0,0,0,0,1,0,41,0,4,1,1,0,0
164,,5,14,12,54,175,20 ,0.11429 ,11.821496,0.0560748,1,0,0,0,0,0,0,0,0,0,1,0,52,0,5,0,1,0,0
165,,2,12,3,150,55,5 ,0.09091 ,13.6,0,0,0,0,0,0,0,1,0,0,0,0,0,42,0,4,0,1,0,1
166,,3,15,6,110,291,26 ,0.08935 ,12.059772,0.0229885,1,0,0,1,1,0,0,0,0,0,1,0,28,0,5,1,1,1,1
167,,0.5,15,12,98,51,6 ,0.11765 ,2.2,0.0606061,0,0,0,0,0,0,0,1,0,0,0,0,33,1,1,1,0,1,0
168,,1,10,3,129,64,7 ,0.10938 ,11.50588,0,0,1,0,1,0,0,0,1,0,0,0,0,44,0,1,0,1,0,0
169,,5,14,12,84,61,7 ,0.11475 ,4.66668,0,0,0,0,0,0,0,0,0,0,0,1,0,61,0,5,0,1,0,0
170,,15,14,12,111,58,6 ,0.10345 ,5.06668,0.0263158,0,0,1,0,0,1,0,0,0,0,1,0,44,0,4,0,0,0,0
171,,5,14,12,150,71,7 ,0.09859 ,5.73332,0.0465116,0,0,0,1,0,0,0,0,0,0,1,0,53,0,5,1,1,0,0
172,,20,14,12,112,133,15 ,0.11278 ,10.4,0.0512821,1,0,0,1,0,1,0,0,0,1,0,0,45,0,5,1,1,0,0
173,,3,14,12,151,80,10 ,0.12500 ,6.53332,0.0204082,1,0,0,0,0,0,0,0,0,0,1,0,35,0,4,1,1,0,0
174,,8,14,12,84,10,1 ,0.10000 ,2,0,0,0,0,0,0,0,0,0,0,1,0,0,58,0,5,1,1,0,0
175,,1.5,17,6,74,58,8 ,0.13793 ,4.651284,0,1,0,1,0,0,0,0,0,0,0,1,0,28,0,2,1,0,0,0
176,,0.7,19,6,98,50,6 ,0.12000 ,4.26668,0.125,0,0,1,0,1,0,1,0,0,0,0,0,37,0,1,1,1,0,0
177,,1.5,15,12,141,81,8 ,0.09877 ,9.6,0.0208333,1,0,0,0,0,0,1,0,0,0,0,0,34,0,5,1,1,0,1
178,,5,14,12,74,119,14 ,0.11765 ,10.35942,0.0289855,0,0,0,0,0,0,0,0,0,0,0,1,48,0,5,0,1,0,0
179,,0.3,10,3,121,50,7 ,0.14000 ,4.53332,0.0882353,0,0,0,0,0,0,0,0,0,0,0,1,33,0,1,0,1,0,0
180,,30,14,12,132,74,6 ,0.08108 ,5.15238,0.0238095,1,0,0,0,0,0,0,0,0,1,0,0,40,0,5,1,1,0,0
181,,1,11,3,91,50,6 ,0.12000 ,2.9,0.103448,0,0,0,0,0,0,0,0,1,0,0,0,39,0,3,1,1,1,0
182,,0.3,10,3,93,63,15 ,0.23809 ,1.8,0.133333,0,0,0,0,0,0,0,0,0,0,0,1,26,1,2,0,0,0,0
183,,2,15,12,51,70,14 ,0.20000 ,3.5,0.2,0,0,0,0,0,0,1,0,0,0,0,0,40,0,4,1,1,0,1
184,,1.2,12,6,152,51,6 ,0.11765 ,6.4,0.03125,1,0,0,0,0,0,0,0,0,0,1,0,27,1,3,1,0,0,0
185,,5,13,12,111,93,10 ,0.10753 ,11.727272,0,1,0,0,0,0,0,0,0,0,0,1,0,45,0,4,1,0,0,0
186,,25,13,12,110,51,5 ,0.09804 ,7.333332,0,0,0,0,0,0,0,0,0,0,0,1,0,44,0,5,1,1,0,0
